name,kind,city,region,country,date_granted,grant,address,lat,lon,wikipedia_url,image_source,image_title,image_url,photographer,licence,licence_url,credit_page,postable
Hendersonville,public,Hendersonville,North Carolina,United States,"May 2, 1911","$10,000",4th Ave. and King St.,,,,,,,,,,,no
Hickory,public,Hickory,North Carolina,United States,"May 3, 1917","$13,250",415 1st Ave. NW,,,https://en.wikipedia.org/wiki/Elliott%E2%80%93Carnegie_Library,wikipedia-list,"File:Elliott_Carnegie_Library,_Hickory,_North_Carolina.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Elliott_Carnegie_Library%2C_Hickory%2C_North_Carolina.jpg/1920px-Elliott_Carnegie_Library%2C_Hickory%2C_North_Carolina.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Tylerg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"https://commons.wikimedia.org/wiki/File:Elliott_Carnegie_Library,_Hickory,_North_Carolina.jpg",yes
Murphy,public,Murphy,North Carolina,United States,"May 15, 1916","$7,500",87 Peachtree St.,,,,wikipedia-list,File:The_Murphy_NC_Carnegie_library_building_now_houses_the_Cherokee_County_Historical_Museum.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/The_Murphy_NC_Carnegie_library_building_now_houses_the_Cherokee_County_Historical_Museum.jpg/1920px-The_Murphy_NC_Carnegie_library_building_now_houses_the_Cherokee_County_Historical_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Harrison Keely,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:The_Murphy_NC_Carnegie_library_building_now_houses_the_Cherokee_County_Historical_Museum.jpg,yes
Rutherford College,public,Rutherford College,North Carolina,United States,"Feb 21, 1907","$2,500",,,,,,,,,,,,no
Winston-Salem,public,Winston-Salem,North Carolina,United States,"Feb 12, 1903","$15,000",211 W. 3rd St.,,,,,,,,,,,no
Bismarck,public,Bismarck,North Dakota,United States,"Jan 28, 1916","$25,000",Thayer Ave. and 6th St.,46.8077056,-100.783778,,,,,,,,,no
Devils Lake,public,Devils Lake,North Dakota,United States,"Apr 23, 1908","$12,500",623 4th Ave.,48.11472,-98.86028,https://en.wikipedia.org/wiki/Devils_Lake_Carnegie_Library,wikipedia-list,File:Devils_Lake_Carnegie_Library.jpg,https://upload.wikimedia.org/wikipedia/commons/7/78/Devils_Lake_Carnegie_Library.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Unknown authorUnknown author,Public domain,,https://commons.wikimedia.org/wiki/File:Devils_Lake_Carnegie_Library.jpg,yes
Dickinson,public,Dickinson,North Dakota,United States,"Mar 21, 1908","$12,500","139 3rd St., W.",46.8819389,-102.7871194,https://en.wikipedia.org/wiki/Dickinson_Area_Public_Library,wikipedia-list,File:DickinsonND_CarnegieLibrary.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7a/DickinsonND_CarnegieLibrary.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Magicpiano,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:DickinsonND_CarnegieLibrary.jpg,yes
Fargo,public,Fargo,North Dakota,United States,"Mar 6, 1901","$20,000",625 2nd Ave. N.,46.879806,-96.7886167,,,,,,,,,no
Grafton,public,Grafton,North Dakota,United States,"Feb 2, 1903","$10,000",49 W. 7th St.,48.4177083,-97.4124778,,,,,,,,,no
Grand Forks,public,Grand Forks,North Dakota,United States,"Jul 4, 1901","$22,700",Corner of N 5th St and Alpha/1st Avenue.,,,,,,,,,,,no
Minot,public,Minot,North Dakota,United States,"Aug 29, 1908","$15,000","105 2nd Ave., SE",48.23472,-101.29083,https://en.wikipedia.org/wiki/Minot_Carnegie_Library,wikipedia-list,File:Carnegie_Center_Minot.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cf/Carnegie_Center_Minot.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,A1%,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Carnegie_Center_Minot.jpg,yes
Valley City,public,Valley City,North Dakota,United States,"Jul 5, 1901","$15,000",410 Central Ave. N.,46.92639,-98.00306,https://en.wikipedia.org/wiki/Valley_City_Carnegie_Library,wikipedia-list,File:Valley_City_Public_Library.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Valley_City_Public_Library.jpg/1920px-Valley_City_Public_Library.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Andrew Filer,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Valley_City_Public_Library.jpg,yes
Hobart,public,Hobart,Tasmania,Australia,6 Oct 1902,"$36,505",16 Argyle Street,,,,wikipedia-list,File:Maritime_Museum_of_Tasmania_(2023).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Maritime_Museum_of_Tasmania_%282023%29.jpg/1920px-Maritime_Museum_of_Tasmania_%282023%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Canley,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Maritime_Museum_of_Tasmania_(2023).jpg,yes
Midland Junction,public,Midland Junction,Western Australia,Australia,2 Dec 1909,"$7,300",,,,,,,,,,,,no
Mildura,public,Mildura,Victoria,Australia,23 Jun 1906,"$9,825",,,,,commons-namesearch,File:13694-Mildura-1911-The Carnegie Public Library-Brück & Sohn Kunstverlag.jpg,https://upload.wikimedia.org/wikipedia/commons/1/12/13694-Mildura-1911-The_Carnegie_Public_Library-Br%C3%BCck_%26_Sohn_Kunstverlag.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Brück &amp; Sohn Kunstverlag Meißen,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://commons.wikimedia.org/wiki/File:13694-Mildura-1911-The_Carnegie_Public_Library-Br%C3%BCck_%26_Sohn_Kunstverlag.jpg,yes
Northcote,public,Northcote,Victoria,Australia,13 Mar 1909,"$14,610",,,,,,,,,,,,no
Alexandra,public,Alexandra,Otago,New Zealand,2 Dec 1909,"$3,880",,,,,,,,,,,,no
Balclutha,public,Balclutha,Otago,New Zealand,2 Apr 1913,"$4,870",23 John Street,,,,,,,,,,,no
