name,kind,city,region,country,date_granted,grant,date_opened,address,lat,lon,image_file,wikipedia_url,notes,section,source_page
Alturas,public,Alturas,California,United States,"Nov 20, 1908","$10,000",,"201 S. Court St, Alturas, CA 96101",41.48417,-120.54083,Alturas_Carnegie_Library.jpg,,"This building, designed by F. J. DeLongchamps, opened in 1918 and served as a library until 1947. It now houses law offices.",Public libraries,List of Carnegie libraries in California
Anaheim,public,Anaheim,California,United States,"Feb 6, 1907","$10,000",,"241 S. Anaheim Blvd, Anaheim, CA 92805",33.83417,-117.91361,Anaheim_Public_Library_(Carnegie_Library).JPG,"https://en.wikipedia.org/wiki/Carnegie_Library_(Anaheim,_California)","A John C. Austin work, this building opened in 1909. It was a library until 1963, and it has been home to the Anaheim Museum since 1987.",Public libraries,List of Carnegie libraries in California
Antioch,public,Antioch,California,United States,"Jun 1, 1915","$2,500",,"519 F St, Antioch, CA 94505",38.01444,-121.81250,,,This Francis Reid Neoclassical design was Antioch's library from its opening in 1916 until 1967. It is now a church.,Public libraries,List of Carnegie libraries in California
Auburn,public,Auburn,California,United States,"Mar 9, 1907","$10,000",,"175 Almond St, Auburn, CA 95603",38.89972,-121.07194,Auburn_Public_Library_2012-09-16_17-07-11.jpg,"https://en.wikipedia.org/wiki/Auburn_Public_Library_(Auburn,_California)","From May 26, 1909, to 1968, this Allen D. Fellows Classical Revival building was the Auburn library. It is now an arts center.",Public libraries,List of Carnegie libraries in California
Azusa,public,Azusa,California,United States,"Dec 24, 1908","$10,000",,"213 E Foothill Blvd, Azusa, CA 91702",34.13500,-117.90556,,,This Norman F. Marsh design was the library in Azusa from 1910 to 1959. The building was razed in 1959 and a new City Hall erected on its site.,Public libraries,List of Carnegie libraries in California
Bayliss District,public,Bayliss,California,United States,"Jan 5, 1916","$4,000",,"7830 County Rd 39, Glenn, CA 95943",39.58278,-122.04667,Bayliss_Carnegie_Library_(April_2023)-3563.jpg,,"Bayliss sought a grant in conjunction with rural parts of Glenn County, hence its unusual name. Opened in 1917, this W. H. Weeks design continues to operate as one of the most rural Carnegie libraries in the country.",Public libraries,List of Carnegie libraries in California
Beaumont,public,Beaumont,California,United States,"Apr 28, 1913","$10,000",,"125 E 8th St, Beamont, CA 92223",33.93222,-116.98111,Bldflag.jpg,https://en.wikipedia.org/wiki/Beaumont_Library_District,"Opened in 1914, this Neoclassical design by E. L. Hopkins has always served the Beaumont area as a library. An addition was added to the library in 1966 and a community room was finally added in 1981.",Public libraries,List of Carnegie libraries in California
Berkeley,public,Berkeley,California,United States,"Feb 12, 1903","$40,000",,Shattuck Ave. and Kittridge St.,37.86806,-122.26861,,,"A 1905 John Galen Howard design, this library served the Berkeley area for only 24 years before it was razed in 1929—the first Carnegie library to be demolished in California.",Public libraries,List of Carnegie libraries in California
Biggs,public,Biggs,California,United States,"Apr 23, 1906","$5,000",,"464 B St, Biggs, CA 95917",39.41333,-121.71028,Building_on_6th_and_B_Street_in_Biggs-L1003954.jpg,,,Public libraries,List of Carnegie libraries in California
Calexico,public,Calexico,California,United States,"Mar 16, 1915","$10,000",,"420 Heber Ave, Calexico, CA 92231",32.66944,-115.49250,"Carnegie_Library,_Calexico,_California.jpg",https://en.wikipedia.org/wiki/Calexico_Carnegie_Library,"Now in the Calexico Public Library system, after several years of idleness being completely restored and reopened as a computer lab.",Public libraries,List of Carnegie libraries in California
Chico,public,Chico,California,United States,"Jan 7, 1904","$10,000",,"141 Salem St, Chico, CA 95928",39.72917,-121.84222,"Chico_Museum,_California_-_panoramio.jpg",,Now housing the Chico Museum.,Public libraries,List of Carnegie libraries in California
